2025-07-26 21:22:22 - trafficanalyzer.py - INFO - TrafficAnalyzer initialized for interface: wlan0
2025-07-26 21:22:22 - trafficanalyzer.py - INFO - Sniffing thread started on interface: wlan0
2025-07-26 21:22:22 - trafficanalyzer.py - INFO - Traffic analysis started.
2025-07-26 21:22:22 - trafficanalyzer.py - ERROR - An error occurred during sniffing: Interface 'wlan0' not found !
2025-07-26 21:22:22 - trafficanalyzer.py - INFO - Sniffing thread stopped.
2025-07-26 21:22:32 - trafficanalyzer.py - WARNING - Traffic analysis is not running.
2025-07-26 21:22:48 - trafficanalyzer.py - INFO - TrafficAnalyzer initialized for interface: default
2025-07-26 21:22:48 - trafficanalyzer.py - INFO - Sniffing thread started on interface: auto
2025-07-26 21:22:48 - trafficanalyzer.py - INFO - Traffic analysis started.
2025-07-26 21:22:48 - trafficanalyzer.py - INFO - Sniffing thread stopped.
2025-07-26 21:22:58 - trafficanalyzer.py - WARNING - Traffic analysis is not running.
2025-07-26 22:04:09 - trafficanalyzer.py - INFO - TrafficAnalyzer initialized for interface: default
2025-07-26 22:04:09 - trafficanalyzer.py - INFO - Sniffing thread started on interface: auto
2025-07-26 22:04:09 - trafficanalyzer.py - INFO - Traffic analysis started.
2025-07-27 21:49:23 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616963.9301252, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.78'}
2025-07-27 21:49:23 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616963.9301252, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.177'}
2025-07-27 21:49:25 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616965.9773612, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.192'}
2025-07-27 21:49:58 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616998.1388857, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.175'}
2025-07-27 21:50:04 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617004.0668268, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.50'}
2025-07-27 21:50:04 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617004.9949043, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.181'}
2025-07-27 21:50:09 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617009.9020557, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.78'}
2025-07-27 21:50:09 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617009.9020557, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.177'}
2025-07-27 21:50:11 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617011.9493911, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.192'}
2025-07-27 21:50:13 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617013.9102752, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.192'}
2025-07-27 21:50:33 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617033.9759693, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.50'}
2025-07-27 21:50:34 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617034.9955072, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.181'}
2025-07-27 21:50:39 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617039.1958046, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.78'}
2025-07-27 21:50:39 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617039.1958046, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.177'}
2025-07-27 21:50:41 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617041.96374, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.14'}
2025-07-27 21:50:42 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617042.9864504, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.192'}
2025-07-27 21:50:44 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617044.0081418, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.175'}
2025-07-27 21:51:00 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617060.2680297, 'sender_ip': '192.168.0.25', 'sender_mac': 'c8:15:4e:42:1f:44', 'target_ip': '169.254.169.254'}
2025-07-27 21:51:00 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617060.8663802, 'sender_ip': '192.168.0.25', 'sender_mac': 'c8:15:4e:42:1f:44', 'target_ip': '169.254.169.254'}
2025-07-27 21:51:01 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617061.8715649, 'sender_ip': '192.168.0.25', 'sender_mac': 'c8:15:4e:42:1f:44', 'target_ip': '169.254.169.254'}
2025-07-27 21:51:03 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617063.5592012, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.50'}
2025-07-27 21:51:04 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617064.4867096, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.181'}
2025-07-27 21:51:09 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617069.1987815, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.78'}
2025-07-27 21:51:09 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753617069.1987815, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.177'}
